==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
2021-06-16 00:12:26.044332 I | raft: 3b0281aae13188e7 became follower at term 2
2021-06-16 00:12:26.044343 I | raft: raft.node: 3b0281aae13188e7 lost leader 3b0281aae13188e7 at term 2
2021-06-16 00:12:26.074010 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a1d8025a2aec31a (Get http://wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-16 00:12:26.074038 W | etcdserver: cannot get the version of member 9a1d8025a2aec31a (Get http://wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-16 00:12:27.742281 I | raft: 3b0281aae13188e7 is starting a new election at term 2
2021-06-16 00:12:27.742491 I | raft: 3b0281aae13188e7 became candidate at term 3
2021-06-16 00:12:27.742528 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 3
2021-06-16 00:12:27.742585 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 3
2021-06-16 00:12:29.181750 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:29.446669 I | raft: 3b0281aae13188e7 is starting a new election at term 3
2021-06-16 00:12:29.446736 I | raft: 3b0281aae13188e7 became candidate at term 4
2021-06-16 00:12:29.446748 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 4
2021-06-16 00:12:29.446820 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 4
2021-06-16 00:12:31.251499 I | raft: 3b0281aae13188e7 is starting a new election at term 4
2021-06-16 00:12:31.252323 I | raft: 3b0281aae13188e7 became candidate at term 5
2021-06-16 00:12:31.252357 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 5
2021-06-16 00:12:31.252371 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 5
2021-06-16 00:12:32.847846 I | raft: 3b0281aae13188e7 is starting a new election at term 5
2021-06-16 00:12:32.847892 I | raft: 3b0281aae13188e7 became candidate at term 6
2021-06-16 00:12:32.847906 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 6
2021-06-16 00:12:32.847919 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 6
2021-06-16 00:12:34.181930 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:34.648090 I | raft: 3b0281aae13188e7 is starting a new election at term 6
2021-06-16 00:12:34.648135 I | raft: 3b0281aae13188e7 became candidate at term 7
