==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.16 wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
2021-06-16 00:13:10.392227 I | rafthttp: peer 3b0281aae13188e7 became active
2021-06-16 00:13:10.392304 I | rafthttp: established a TCP streaming connection with peer 3b0281aae13188e7 (stream MsgApp v2 reader)
2021-06-16 00:13:10.392502 I | rafthttp: established a TCP streaming connection with peer 3b0281aae13188e7 (stream Message reader)
2021-06-16 00:13:10.392645 I | raft: d6bae70853e5a681 [term: 1] received a MsgHeartbeat message with higher term from 3b0281aae13188e7 [term: 23]
2021-06-16 00:13:10.392719 I | raft: d6bae70853e5a681 became follower at term 23
2021-06-16 00:13:10.392801 I | raft: raft.node: d6bae70853e5a681 elected leader 3b0281aae13188e7 at term 23
2021-06-16 00:13:10.396100 I | rafthttp: established a TCP streaming connection with peer 3b0281aae13188e7 (stream MsgApp v2 writer)
2021-06-16 00:13:10.396432 I | rafthttp: peer 9a1d8025a2aec31a became active
2021-06-16 00:13:10.396467 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream MsgApp v2 writer)
2021-06-16 00:13:10.401546 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream MsgApp v2 reader)
2021-06-16 00:13:10.404309 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream Message reader)
2021-06-16 00:13:10.404892 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream Message writer)
2021-06-16 00:13:10.404924 I | rafthttp: established a TCP streaming connection with peer 3b0281aae13188e7 (stream Message writer)
2021-06-16 00:13:10.414003 I | etcdserver/membership: added member 3b0281aae13188e7 [http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 89eee7d2d8bcc6a9
2021-06-16 00:13:10.414231 N | etcdserver/membership: set the initial cluster version to 3.2
2021-06-16 00:13:10.414289 I | etcdserver/api: enabled capabilities for version 3.2
2021-06-16 00:13:10.414480 I | etcdserver/membership: added member 9a1d8025a2aec31a [http://wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 89eee7d2d8bcc6a9
2021-06-16 00:13:10.414719 I | etcdserver/membership: added member d6bae70853e5a681 [http://wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 89eee7d2d8bcc6a9
2021-06-16 00:13:10.414864 I | etcdserver: published {Name:wcm-etcd-cluster-mnjf7rjjql ClientURLs:[http://wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2379]} to cluster 89eee7d2d8bcc6a9
2021-06-16 00:13:10.414915 I | embed: ready to serve client requests
2021-06-16 00:13:10.415287 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
==== END logs for container etcd of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
