==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
2021-09-23 23:03:06.914599 I | rafthttp: started peer 1c16dd9ccd9e7b3e
2021-09-23 23:03:06.914675 I | rafthttp: started streaming with peer 1c16dd9ccd9e7b3e (stream Message reader)
2021-09-23 23:03:06.914711 I | rafthttp: started streaming with peer 1c16dd9ccd9e7b3e (stream MsgApp v2 reader)
2021-09-23 23:03:06.914848 I | rafthttp: added peer 1c16dd9ccd9e7b3e
2021-09-23 23:03:07.982802 W | raft: 6c4c8f4655e4dacc stepped down to follower since quorum is not active
2021-09-23 23:03:07.983323 I | raft: 6c4c8f4655e4dacc became follower at term 2
2021-09-23 23:03:07.983337 I | raft: raft.node: 6c4c8f4655e4dacc lost leader 6c4c8f4655e4dacc at term 2
2021-09-23 23:03:09.582551 I | raft: 6c4c8f4655e4dacc is starting a new election at term 2
2021-09-23 23:03:09.582586 I | raft: 6c4c8f4655e4dacc became candidate at term 3
2021-09-23 23:03:09.582598 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 3
2021-09-23 23:03:09.582606 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 3
2021-09-23 23:03:10.682607 I | raft: 6c4c8f4655e4dacc is starting a new election at term 3
2021-09-23 23:03:10.682683 I | raft: 6c4c8f4655e4dacc became candidate at term 4
2021-09-23 23:03:10.682960 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 4
2021-09-23 23:03:10.682975 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 4
2021-09-23 23:03:11.682594 I | raft: 6c4c8f4655e4dacc is starting a new election at term 4
2021-09-23 23:03:11.682643 I | raft: 6c4c8f4655e4dacc became candidate at term 5
2021-09-23 23:03:11.682656 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 5
2021-09-23 23:03:11.682667 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 5
2021-09-23 23:03:11.914880 W | rafthttp: health check for peer 1c16dd9ccd9e7b3e could not connect: dial tcp: lookup wcm-etcd-cluster-rz8bn4795l.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-09-23 23:03:13.282564 I | raft: 6c4c8f4655e4dacc is starting a new election at term 5
2021-09-23 23:03:13.282611 I | raft: 6c4c8f4655e4dacc became candidate at term 6
2021-09-23 23:03:13.282623 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 6
2021-09-23 23:03:13.282631 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 6
2021-09-23 23:03:14.382562 I | raft: 6c4c8f4655e4dacc is starting a new election at term 6
2021-09-23 23:03:14.382604 I | raft: 6c4c8f4655e4dacc became candidate at term 7
2021-09-23 23:03:14.382616 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 7
2021-09-23 23:03:14.382626 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 7
2021-09-23 23:03:15.382944 I | raft: 6c4c8f4655e4dacc is starting a new election at term 7
