==== START logs for container kube-scheduler of pod kube-system/kube-scheduler-kind-2-control-plane ====
I0521 20:09:34.438504       1 serving.go:312] Generated self-signed cert in-memory
E0521 20:09:39.724185       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csinodes" in API group "storage.k8s.io" at the cluster scope
E0521 20:09:39.725302       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1beta1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User "system:kube-scheduler" cannot list resource "poddisruptionbudgets" in API group "policy" at the cluster scope
E0521 20:09:39.726683       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumes" in API group "" at the cluster scope
E0521 20:09:39.727503       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User "system:kube-scheduler" cannot list resource "replicationcontrollers" in API group "" at the cluster scope
E0521 20:09:39.728883       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.ReplicaSet: replicasets.apps is forbidden: User "system:kube-scheduler" cannot list resource "replicasets" in API group "apps" at the cluster scope
E0521 20:09:39.730331       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
I0521 20:09:40.812208       1 leaderelection.go:242] attempting to acquire leader lease  kube-system/kube-scheduler...
I0521 20:09:40.812838       1 shared_informer.go:204] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
I0521 20:09:40.821084       1 leaderelection.go:252] successfully acquired lease kube-system/kube-scheduler
E0521 20:09:58.304997       1 factory.go:494] pod is already present in the activeQ
E0521 20:09:58.381313       1 factory.go:494] pod is already present in the activeQ
E0521 20:09:58.443088       1 factory.go:494] pod is already present in unschedulableQ
E0521 20:10:36.162116       1 factory.go:494] pod is already present in the activeQ
E0521 20:10:36.618568       1 factory.go:494] pod is already present in the activeQ
==== END logs for container kube-scheduler of pod kube-system/kube-scheduler-kind-2-control-plane ====
