==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.11 wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
2021-06-15 17:09:07.304784 I | embed: ready to serve client requests
2021-06-15 17:09:07.305493 N | etcdserver/membership: set the initial cluster version to 3.2
2021-06-15 17:09:07.305855 I | etcdserver/api: enabled capabilities for version 3.2
2021-06-15 17:09:07.310831 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2021-06-15 17:09:07.341091 I | etcdserver/membership: added member b97703c1d18e3625 [http://wcm-etcd-cluster-rxj67mvz9s.wcm-etcd-cluster.wcm-system.svc:2380] to cluster cc1049f0f2a6b583
2021-06-15 17:09:07.341145 I | rafthttp: starting peer b97703c1d18e3625...
2021-06-15 17:09:07.341196 I | rafthttp: started HTTP pipelining with peer b97703c1d18e3625
WARNING: 2021/06/15 17:09:07 grpc: Server.processUnaryRPC failed to write status connection error: desc = "transport is closing"
2021-06-15 17:09:07.351069 I | rafthttp: started streaming with peer b97703c1d18e3625 (writer)
2021-06-15 17:09:07.351709 I | rafthttp: started streaming with peer b97703c1d18e3625 (writer)
2021-06-15 17:09:07.353082 I | rafthttp: started peer b97703c1d18e3625
2021-06-15 17:09:07.353370 I | rafthttp: added peer b97703c1d18e3625
2021-06-15 17:09:07.375725 I | rafthttp: started streaming with peer b97703c1d18e3625 (stream MsgApp v2 reader)
2021-06-15 17:09:07.375994 I | rafthttp: started streaming with peer b97703c1d18e3625 (stream Message reader)
2021-06-15 17:09:08.028416 W | etcdserver: failed to send out heartbeat on time (exceeded the 100ms timeout for 75.361369ms)
2021-06-15 17:09:08.181299 W | etcdserver: server is likely overloaded
2021-06-15 17:09:08.500357 W | etcdserver: failed to send out heartbeat on time (exceeded the 100ms timeout for 46.135769ms)
2021-06-15 17:09:08.505356 W | etcdserver: server is likely overloaded
2021-06-15 17:09:08.973522 W | etcdserver: failed to send out heartbeat on time (exceeded the 100ms timeout for 55.029759ms)
2021-06-15 17:09:08.973551 W | etcdserver: server is likely overloaded
2021-06-15 17:09:09.581062 W | raft: f73078f82c3758a0 stepped down to follower since quorum is not active
2021-06-15 17:09:09.581167 I | raft: f73078f82c3758a0 became follower at term 2
2021-06-15 17:09:09.581179 I | raft: raft.node: f73078f82c3758a0 lost leader f73078f82c3758a0 at term 2
2021-06-15 17:09:11.250683 I | raft: f73078f82c3758a0 is starting a new election at term 2
2021-06-15 17:09:11.250729 I | raft: f73078f82c3758a0 became candidate at term 3
2021-06-15 17:09:11.250743 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 3
2021-06-15 17:09:11.250756 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 3
2021-06-15 17:09:12.357531 W | rafthttp: health check for peer b97703c1d18e3625 could not connect: dial tcp: lookup wcm-etcd-cluster-rxj67mvz9s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-15 17:09:12.362415 I | raft: f73078f82c3758a0 is starting a new election at term 3
2021-06-15 17:09:12.362521 I | raft: f73078f82c3758a0 became candidate at term 4
2021-06-15 17:09:12.362535 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 4
2021-06-15 17:09:12.362561 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 4
2021-06-15 17:09:13.350415 I | raft: f73078f82c3758a0 is starting a new election at term 4
2021-06-15 17:09:13.350694 I | raft: f73078f82c3758a0 became candidate at term 5
2021-06-15 17:09:13.350766 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 5
2021-06-15 17:09:13.350810 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 5
2021-06-15 17:09:14.850495 I | raft: f73078f82c3758a0 is starting a new election at term 5
2021-06-15 17:09:14.850568 I | raft: f73078f82c3758a0 became candidate at term 6
2021-06-15 17:09:14.850581 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 6
2021-06-15 17:09:14.850593 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 6
2021-06-15 17:09:16.550591 I | raft: f73078f82c3758a0 is starting a new election at term 6
2021-06-15 17:09:16.550640 I | raft: f73078f82c3758a0 became candidate at term 7
2021-06-15 17:09:16.550654 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 7
2021-06-15 17:09:16.550666 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 7
2021-06-15 17:09:17.362508 W | rafthttp: health check for peer b97703c1d18e3625 could not connect: dial tcp: lookup wcm-etcd-cluster-rxj67mvz9s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-15 17:09:18.350521 I | raft: f73078f82c3758a0 is starting a new election at term 7
2021-06-15 17:09:18.350566 I | raft: f73078f82c3758a0 became candidate at term 8
2021-06-15 17:09:18.350579 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 8
2021-06-15 17:09:18.350592 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 8
2021-06-15 17:09:19.750658 I | raft: f73078f82c3758a0 is starting a new election at term 8
2021-06-15 17:09:19.750695 I | raft: f73078f82c3758a0 became candidate at term 9
2021-06-15 17:09:19.750709 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 9
