NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-j5h89          1/1     Running   0          10h   10.244.0.16   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-xgchc                1/1     Running   0          10h   10.244.0.14   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-dbsjk                        1/1     Running   0          10h   10.244.0.15   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-9xwnp                       1/1     Running   0          10h   10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-kkbxx                       1/1     Running   0          10h   10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                      1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-5jvqz                                  1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane            1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane   1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-r7vcx                               1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane            1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-plztb         1/1     Running   0          10h   10.244.0.2    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-m8zz2                    1/1     Running   0          10h   10.244.0.12   kind-1-control-plane   <none>           <none>
metallb-system       speaker-gph7w                                  1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-agent-fvnz8                              1/1     Running   0          10h   172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-server-0                                 2/2     Running   0          10h   10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-548bcfbd7-8rvb6   1/1     Running   0          10h   10.244.0.13   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-f67nn                 1/1     Running   0          10h   10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-x6s9m                  1/1     Running   0          10h   10.244.0.11   kind-1-control-plane   <none>           <none>
wcm-system           green-689c6795dd-pmc6k                         1/1     Running   0          10h   10.244.0.17   kind-1-control-plane   <none>           <none>
wcm-system           green-app-dns-publisher-85c7964589-prxbc       1/1     Running   0          10h   10.244.0.20   kind-1-control-plane   <none>           <none>
wcm-system           green-cd-info-669f849cd4-f2ql2                 1/1     Running   0          10h   10.244.0.19   kind-1-control-plane   <none>           <none>
wcm-system           green-wcmd-56f648f664-z4h7v                    1/1     Running   0          10h   10.244.0.18   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-6589x            1/1     Running   0          10h   10.244.0.10   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-2bqqg8z92f                    1/1     Running   0          10h   10.244.0.9    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-kgl4xpd2dd                    1/1     Running   0          10h   10.244.0.8    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-p9b8g5x6r9                    1/1     Running   0          10h   10.244.0.7    kind-1-control-plane   <none>           <none>
