==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
2021-05-27 04:48:19.743753 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 3
2021-05-27 04:48:19.743761 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 3
2021-05-27 04:48:20.943719 I | raft: ca7bf658747b74e8 is starting a new election at term 3
2021-05-27 04:48:20.943771 I | raft: ca7bf658747b74e8 became candidate at term 4
2021-05-27 04:48:20.943785 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 4
2021-05-27 04:48:20.943798 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 4
2021-05-27 04:48:21.451966 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:22.643714 I | raft: ca7bf658747b74e8 is starting a new election at term 4
2021-05-27 04:48:22.643759 I | raft: ca7bf658747b74e8 became candidate at term 5
2021-05-27 04:48:22.643771 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 5
2021-05-27 04:48:22.643782 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 5
2021-05-27 04:48:23.943767 I | raft: ca7bf658747b74e8 is starting a new election at term 5
2021-05-27 04:48:23.943812 I | raft: ca7bf658747b74e8 became candidate at term 6
2021-05-27 04:48:23.943826 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 6
2021-05-27 04:48:23.943839 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 6
2021-05-27 04:48:25.443711 I | raft: ca7bf658747b74e8 is starting a new election at term 6
2021-05-27 04:48:25.443753 I | raft: ca7bf658747b74e8 became candidate at term 7
2021-05-27 04:48:25.443767 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 7
2021-05-27 04:48:25.443780 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 7
2021-05-27 04:48:26.452140 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:27.043764 I | raft: ca7bf658747b74e8 is starting a new election at term 7
2021-05-27 04:48:27.043820 I | raft: ca7bf658747b74e8 became candidate at term 8
2021-05-27 04:48:27.043836 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 8
2021-05-27 04:48:27.043849 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 8
2021-05-27 04:48:28.743729 I | raft: ca7bf658747b74e8 is starting a new election at term 8
2021-05-27 04:48:28.743772 I | raft: ca7bf658747b74e8 became candidate at term 9
2021-05-27 04:48:28.743784 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 9
2021-05-27 04:48:28.743796 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 9
2021-05-27 04:48:30.643774 I | raft: ca7bf658747b74e8 is starting a new election at term 9
2021-05-27 04:48:30.644102 I | raft: ca7bf658747b74e8 became candidate at term 10
2021-05-27 04:48:30.644146 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 10
2021-05-27 04:48:30.644160 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 10
2021-05-27 04:48:31.452313 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:32.443776 I | raft: ca7bf658747b74e8 is starting a new election at term 10
2021-05-27 04:48:32.443821 I | raft: ca7bf658747b74e8 became candidate at term 11
2021-05-27 04:48:32.443837 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 11
2021-05-27 04:48:32.443846 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 11
2021-05-27 04:48:33.443711 I | raft: ca7bf658747b74e8 is starting a new election at term 11
2021-05-27 04:48:33.443756 I | raft: ca7bf658747b74e8 became candidate at term 12
2021-05-27 04:48:33.443769 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 12
2021-05-27 04:48:33.443783 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 12
2021-05-27 04:48:35.343758 I | raft: ca7bf658747b74e8 is starting a new election at term 12
2021-05-27 04:48:35.343800 I | raft: ca7bf658747b74e8 became candidate at term 13
2021-05-27 04:48:35.343813 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 13
2021-05-27 04:48:35.343825 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 13
2021-05-27 04:48:36.452509 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:36.643738 I | raft: ca7bf658747b74e8 is starting a new election at term 13
2021-05-27 04:48:36.643780 I | raft: ca7bf658747b74e8 became candidate at term 14
2021-05-27 04:48:36.643794 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 14
2021-05-27 04:48:36.643806 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 14
2021-05-27 04:48:38.043738 I | raft: ca7bf658747b74e8 is starting a new election at term 14
2021-05-27 04:48:38.043781 I | raft: ca7bf658747b74e8 became candidate at term 15
