==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
2021-06-14 14:49:31.901672 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 3
2021-06-14 14:49:33.701637 I | raft: 734c20f326580661 is starting a new election at term 3
2021-06-14 14:49:33.701708 I | raft: 734c20f326580661 became candidate at term 4
2021-06-14 14:49:33.701721 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 4
2021-06-14 14:49:33.701730 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 4
2021-06-14 14:49:34.221500 W | rafthttp: health check for peer 1c7dade43e0b3c2b could not connect: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:49:35.001645 I | raft: 734c20f326580661 is starting a new election at term 4
2021-06-14 14:49:35.001690 I | raft: 734c20f326580661 became candidate at term 5
2021-06-14 14:49:35.001701 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 5
2021-06-14 14:49:35.001762 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 5
2021-06-14 14:49:36.901646 I | raft: 734c20f326580661 is starting a new election at term 5
2021-06-14 14:49:36.901692 I | raft: 734c20f326580661 became candidate at term 6
2021-06-14 14:49:36.901707 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 6
