==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
nslookup: can't resolve 'wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
2021-06-16 17:01:26.084538 I | raft: raft.node: 1fdb57acab506fd2 lost leader 1fdb57acab506fd2 at term 2
2021-06-16 17:01:27.784609 I | raft: 1fdb57acab506fd2 is starting a new election at term 2
2021-06-16 17:01:27.784715 I | raft: 1fdb57acab506fd2 became candidate at term 3
2021-06-16 17:01:27.784791 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 3
2021-06-16 17:01:27.784830 I | raft: 1fdb57acab506fd2 [logterm: 2, index: 5] sent MsgVote request to b679316e0bfb7100 at term 3
2021-06-16 17:01:29.224340 W | rafthttp: health check for peer b679316e0bfb7100 could not connect: dial tcp: lookup wcm-etcd-cluster-hl6mrp5tfz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 17:01:29.484471 I | raft: 1fdb57acab506fd2 is starting a new election at term 3
2021-06-16 17:01:29.484529 I | raft: 1fdb57acab506fd2 became candidate at term 4
2021-06-16 17:01:29.484698 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 4
2021-06-16 17:01:29.484713 I | raft: 1fdb57acab506fd2 [logterm: 2, index: 5] sent MsgVote request to b679316e0bfb7100 at term 4
2021-06-16 17:01:31.384498 I | raft: 1fdb57acab506fd2 is starting a new election at term 4
2021-06-16 17:01:31.384554 I | raft: 1fdb57acab506fd2 became candidate at term 5
2021-06-16 17:01:31.384565 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 5
2021-06-16 17:01:31.384574 I | raft: 1fdb57acab506fd2 [logterm: 2, index: 5] sent MsgVote request to b679316e0bfb7100 at term 5
2021-06-16 17:01:32.984467 I | raft: 1fdb57acab506fd2 is starting a new election at term 5
2021-06-16 17:01:32.984570 I | raft: 1fdb57acab506fd2 became candidate at term 6
2021-06-16 17:01:32.984629 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 6
