==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
2021-05-12 06:27:39.791792 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc:2380) of member dab54abf8c2e7b39 (Get http://wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-12 06:27:39.791829 W | etcdserver: cannot get the version of member dab54abf8c2e7b39 (Get http://wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-12 06:27:40.788430 W | raft: 154a89996a795b25 stepped down to follower since quorum is not active
2021-05-12 06:27:40.788476 I | raft: 154a89996a795b25 became follower at term 2
2021-05-12 06:27:40.788488 I | raft: raft.node: 154a89996a795b25 lost leader 154a89996a795b25 at term 2
2021-05-12 06:27:42.288421 I | raft: 154a89996a795b25 is starting a new election at term 2
2021-05-12 06:27:42.288476 I | raft: 154a89996a795b25 became candidate at term 3
2021-05-12 06:27:42.288495 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 3
2021-05-12 06:27:42.288507 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 3
2021-05-12 06:27:43.888501 I | raft: 154a89996a795b25 is starting a new election at term 3
2021-05-12 06:27:43.888550 I | raft: 154a89996a795b25 became candidate at term 4
2021-05-12 06:27:43.888562 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 4
2021-05-12 06:27:43.888574 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 4
2021-05-12 06:27:44.541679 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:27:44.888530 I | raft: 154a89996a795b25 is starting a new election at term 4
2021-05-12 06:27:44.888579 I | raft: 154a89996a795b25 became candidate at term 5
2021-05-12 06:27:44.888592 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 5
2021-05-12 06:27:44.888603 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 5
2021-05-12 06:27:46.688453 I | raft: 154a89996a795b25 is starting a new election at term 5
2021-05-12 06:27:46.688517 I | raft: 154a89996a795b25 became candidate at term 6
2021-05-12 06:27:46.688530 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 6
2021-05-12 06:27:46.688544 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 6
2021-05-12 06:27:47.888409 I | raft: 154a89996a795b25 is starting a new election at term 6
2021-05-12 06:27:47.888459 I | raft: 154a89996a795b25 became candidate at term 7
2021-05-12 06:27:47.888473 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 7
2021-05-12 06:27:47.888492 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 7
2021-05-12 06:27:49.188424 I | raft: 154a89996a795b25 is starting a new election at term 7
2021-05-12 06:27:49.188468 I | raft: 154a89996a795b25 became candidate at term 8
2021-05-12 06:27:49.188482 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 8
2021-05-12 06:27:49.188495 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 8
2021-05-12 06:27:49.541976 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:27:50.788424 I | raft: 154a89996a795b25 is starting a new election at term 8
2021-05-12 06:27:50.788463 I | raft: 154a89996a795b25 became candidate at term 9
2021-05-12 06:27:50.788474 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 9
2021-05-12 06:27:50.788487 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 9
2021-05-12 06:27:51.988469 I | raft: 154a89996a795b25 is starting a new election at term 9
2021-05-12 06:27:51.988515 I | raft: 154a89996a795b25 became candidate at term 10
2021-05-12 06:27:51.988529 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 10
2021-05-12 06:27:51.988538 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 10
2021-05-12 06:27:53.288477 I | raft: 154a89996a795b25 is starting a new election at term 10
2021-05-12 06:27:53.288531 I | raft: 154a89996a795b25 became candidate at term 11
2021-05-12 06:27:53.288544 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 11
2021-05-12 06:27:53.288556 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 11
2021-05-12 06:27:54.542150 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:27:54.788485 I | raft: 154a89996a795b25 is starting a new election at term 11
2021-05-12 06:27:54.788531 I | raft: 154a89996a795b25 became candidate at term 12
2021-05-12 06:27:54.788545 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 12
2021-05-12 06:27:54.788558 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 12
2021-05-12 06:27:56.288510 I | raft: 154a89996a795b25 is starting a new election at term 12
2021-05-12 06:27:56.288553 I | raft: 154a89996a795b25 became candidate at term 13
2021-05-12 06:27:56.288563 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 13
2021-05-12 06:27:56.288573 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 13
2021-05-12 06:27:57.988506 I | raft: 154a89996a795b25 is starting a new election at term 13
2021-05-12 06:27:57.988562 I | raft: 154a89996a795b25 became candidate at term 14
2021-05-12 06:27:57.988583 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 14
2021-05-12 06:27:57.988597 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 14
2021-05-12 06:27:59.388474 I | raft: 154a89996a795b25 is starting a new election at term 14
2021-05-12 06:27:59.388525 I | raft: 154a89996a795b25 became candidate at term 15
2021-05-12 06:27:59.388542 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 15
2021-05-12 06:27:59.388554 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 15
2021-05-12 06:27:59.542457 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:28:00.988484 I | raft: 154a89996a795b25 is starting a new election at term 15
2021-05-12 06:28:00.988533 I | raft: 154a89996a795b25 became candidate at term 16
2021-05-12 06:28:00.988552 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 16
2021-05-12 06:28:00.988564 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 16
2021-05-12 06:28:02.688533 I | raft: 154a89996a795b25 is starting a new election at term 16
2021-05-12 06:28:02.688623 I | raft: 154a89996a795b25 became candidate at term 17
2021-05-12 06:28:02.688638 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 17
2021-05-12 06:28:02.688657 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 17
2021-05-12 06:28:04.088500 I | raft: 154a89996a795b25 is starting a new election at term 17
2021-05-12 06:28:04.088543 I | raft: 154a89996a795b25 became candidate at term 18
