==== START logs for container etcd of pod kube-system/etcd-kind-1-control-plane ====
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-05-27 04:44:33.289685 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (128.634332ms) to execute
2021-05-27 04:44:45.563447 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (131.693079ms) to execute
2021-05-27 04:44:45.580253 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kindnet-5jvqz\" " with result "range_response_count:1 size:2049" took too long (103.19803ms) to execute
2021-05-27 04:54:18.929390 I | mvcc: store.index: compact 1396
2021-05-27 04:54:18.954345 I | mvcc: finished scheduled compaction at 1396 (took 24.322313ms)
2021-05-27 04:59:18.941254 I | mvcc: store.index: compact 3166
2021-05-27 04:59:18.974113 I | mvcc: finished scheduled compaction at 3166 (took 32.28061ms)
2021-05-27 05:04:18.946177 I | mvcc: store.index: compact 4395
2021-05-27 05:04:18.960714 I | mvcc: finished scheduled compaction at 4395 (took 14.014899ms)
2021-05-27 05:09:18.950662 I | mvcc: store.index: compact 5625
2021-05-27 05:09:18.965943 I | mvcc: finished scheduled compaction at 5625 (took 14.525082ms)
2021-05-27 05:14:18.955413 I | mvcc: store.index: compact 6853
2021-05-27 05:14:18.970399 I | mvcc: finished scheduled compaction at 6853 (took 14.399631ms)
2021-05-27 05:19:18.959870 I | mvcc: store.index: compact 8083
2021-05-27 05:19:18.974559 I | mvcc: finished scheduled compaction at 8083 (took 14.071691ms)
2021-05-27 05:19:24.303631 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2021-05-27 05:19:24.309313 I | etcdserver: saved snapshot at index 10001
2021-05-27 05:19:24.309437 I | etcdserver: compacted raft log at 5001
2021-05-27 05:24:18.964106 I | mvcc: store.index: compact 9312
2021-05-27 05:24:18.978943 I | mvcc: finished scheduled compaction at 9312 (took 14.167839ms)
2021-05-27 05:29:18.968659 I | mvcc: store.index: compact 10541
2021-05-27 05:29:18.983229 I | mvcc: finished scheduled compaction at 10541 (took 13.785273ms)
2021-05-27 05:34:18.972811 I | mvcc: store.index: compact 11768
2021-05-27 05:34:18.987834 I | mvcc: finished scheduled compaction at 11768 (took 14.448201ms)
2021-05-27 05:39:18.978320 I | mvcc: store.index: compact 12998
2021-05-27 05:39:18.993265 I | mvcc: finished scheduled compaction at 12998 (took 14.187507ms)
2021-05-27 05:44:18.985140 I | mvcc: store.index: compact 14227
2021-05-27 05:44:19.000136 I | mvcc: finished scheduled compaction at 14227 (took 14.275506ms)
2021-05-27 05:49:18.989975 I | mvcc: store.index: compact 15456
2021-05-27 05:49:19.004589 I | mvcc: finished scheduled compaction at 15456 (took 13.921617ms)
2021-05-27 05:54:18.995538 I | mvcc: store.index: compact 16688
2021-05-27 05:54:19.024273 I | mvcc: finished scheduled compaction at 16688 (took 27.806341ms)
2021-05-27 05:57:12.848153 I | etcdserver: start to snapshot (applied: 20002, lastsnap: 10001)
2021-05-27 05:57:12.853935 I | etcdserver: saved snapshot at index 20002
2021-05-27 05:57:12.854105 I | etcdserver: compacted raft log at 15002
2021-05-27 05:59:19.001431 I | mvcc: store.index: compact 17921
2021-05-27 05:59:19.018267 I | mvcc: finished scheduled compaction at 17921 (took 16.200968ms)
2021-05-27 06:04:19.005694 I | mvcc: store.index: compact 19150
2021-05-27 06:04:19.021389 I | mvcc: finished scheduled compaction at 19150 (took 15.20559ms)
2021-05-27 06:09:19.010912 I | mvcc: store.index: compact 20377
2021-05-27 06:09:19.026181 I | mvcc: finished scheduled compaction at 20377 (took 14.739495ms)
2021-05-27 06:14:19.015777 I | mvcc: store.index: compact 21607
2021-05-27 06:14:19.030388 I | mvcc: finished scheduled compaction at 21607 (took 14.117015ms)
2021-05-27 06:19:19.020445 I | mvcc: store.index: compact 22834
2021-05-27 06:19:19.044208 I | mvcc: finished scheduled compaction at 22834 (took 23.256431ms)
2021-05-27 06:24:19.024865 I | mvcc: store.index: compact 24064
2021-05-27 06:24:19.039523 I | mvcc: finished scheduled compaction at 24064 (took 14.093789ms)
2021-05-27 06:29:19.029258 I | mvcc: store.index: compact 25292
2021-05-27 06:29:19.043936 I | mvcc: finished scheduled compaction at 25292 (took 14.160003ms)
2021-05-27 06:34:19.034288 I | mvcc: store.index: compact 26522
2021-05-27 06:34:19.050543 I | mvcc: finished scheduled compaction at 26522 (took 15.473191ms)
2021-05-27 06:35:01.293936 I | etcdserver: start to snapshot (applied: 30003, lastsnap: 20002)
2021-05-27 06:35:01.307360 I | etcdserver: saved snapshot at index 30003
2021-05-27 06:35:01.307991 I | etcdserver: compacted raft log at 25003
2021-05-27 06:39:19.039356 I | mvcc: store.index: compact 27750
2021-05-27 06:39:19.054149 I | mvcc: finished scheduled compaction at 27750 (took 14.052104ms)
2021-05-27 06:44:19.045331 I | mvcc: store.index: compact 28978
2021-05-27 06:44:19.060071 I | mvcc: finished scheduled compaction at 28978 (took 14.21309ms)
2021-05-27 06:49:19.049933 I | mvcc: store.index: compact 30206
2021-05-27 06:49:19.064584 I | mvcc: finished scheduled compaction at 30206 (took 14.118655ms)
2021-05-27 06:54:19.055991 I | mvcc: store.index: compact 31437
2021-05-27 06:54:19.070722 I | mvcc: finished scheduled compaction at 31437 (took 14.203499ms)
2021-05-27 06:59:19.061022 I | mvcc: store.index: compact 32666
2021-05-27 06:59:19.076133 I | mvcc: finished scheduled compaction at 32666 (took 14.460084ms)
2021-05-27 07:04:19.065671 I | mvcc: store.index: compact 33895
2021-05-27 07:04:19.080384 I | mvcc: finished scheduled compaction at 33895 (took 14.252364ms)
2021-05-27 07:09:19.070048 I | mvcc: store.index: compact 35124
2021-05-27 07:09:19.084784 I | mvcc: finished scheduled compaction at 35124 (took 14.260904ms)
2021-05-27 07:12:49.343423 I | etcdserver: start to snapshot (applied: 40004, lastsnap: 30003)
2021-05-27 07:12:49.351097 I | etcdserver: saved snapshot at index 40004
2021-05-27 07:12:49.351268 I | etcdserver: compacted raft log at 35004
2021-05-27 07:14:19.074433 I | mvcc: store.index: compact 36353
2021-05-27 07:14:19.089682 I | mvcc: finished scheduled compaction at 36353 (took 14.765763ms)
2021-05-27 07:19:19.084438 I | mvcc: store.index: compact 37582
2021-05-27 07:19:19.099413 I | mvcc: finished scheduled compaction at 37582 (took 14.400727ms)
2021-05-27 07:24:19.089375 I | mvcc: store.index: compact 38812
2021-05-27 07:24:19.104452 I | mvcc: finished scheduled compaction at 38812 (took 14.534101ms)
2021-05-27 07:29:19.093720 I | mvcc: store.index: compact 40041
2021-05-27 07:29:19.111389 I | mvcc: finished scheduled compaction at 40041 (took 17.090964ms)
2021-05-27 07:34:19.098398 I | mvcc: store.index: compact 41269
2021-05-27 07:34:19.113337 I | mvcc: finished scheduled compaction at 41269 (took 14.306121ms)
2021-05-27 07:39:19.103180 I | mvcc: store.index: compact 42498
2021-05-27 07:39:19.117717 I | mvcc: finished scheduled compaction at 42498 (took 14.036099ms)
2021-05-27 07:44:19.108129 I | mvcc: store.index: compact 43727
2021-05-27 07:44:19.123678 I | mvcc: finished scheduled compaction at 43727 (took 14.945459ms)
2021-05-27 07:49:19.113414 I | mvcc: store.index: compact 44956
2021-05-27 07:49:19.127999 I | mvcc: finished scheduled compaction at 44956 (took 14.114856ms)
2021-05-27 07:50:37.949559 I | etcdserver: start to snapshot (applied: 50005, lastsnap: 40004)
2021-05-27 07:50:37.955388 I | etcdserver: saved snapshot at index 50005
2021-05-27 07:50:37.955776 I | etcdserver: compacted raft log at 45005
2021-05-27 07:54:19.118035 I | mvcc: store.index: compact 46182
2021-05-27 07:54:19.133065 I | mvcc: finished scheduled compaction at 46182 (took 14.441738ms)
2021-05-27 07:59:19.122690 I | mvcc: store.index: compact 47411
2021-05-27 07:59:19.138778 I | mvcc: finished scheduled compaction at 47411 (took 15.54522ms)
2021-05-27 08:04:19.127322 I | mvcc: store.index: compact 48641
2021-05-27 08:04:19.142212 I | mvcc: finished scheduled compaction at 48641 (took 14.396216ms)
2021-05-27 08:09:19.132057 I | mvcc: store.index: compact 49870
2021-05-27 08:09:19.146905 I | mvcc: finished scheduled compaction at 49870 (took 14.181483ms)
2021-05-27 08:14:19.136772 I | mvcc: store.index: compact 51099
2021-05-27 08:14:19.151416 I | mvcc: finished scheduled compaction at 51099 (took 14.107321ms)
2021-05-27 08:19:19.141426 I | mvcc: store.index: compact 52328
2021-05-27 08:19:19.156531 I | mvcc: finished scheduled compaction at 52328 (took 14.463408ms)
2021-05-27 08:24:19.145811 I | mvcc: store.index: compact 53557
2021-05-27 08:24:19.160895 I | mvcc: finished scheduled compaction at 53557 (took 14.599036ms)
2021-05-27 08:28:26.462504 I | etcdserver: start to snapshot (applied: 60006, lastsnap: 50005)
2021-05-27 08:28:26.468467 I | etcdserver: saved snapshot at index 60006
2021-05-27 08:28:26.468635 I | etcdserver: compacted raft log at 55006
2021-05-27 08:28:48.371496 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000002711.snap successfully
2021-05-27 08:29:19.150041 I | mvcc: store.index: compact 54786
2021-05-27 08:29:19.164839 I | mvcc: finished scheduled compaction at 54786 (took 14.27732ms)
2021-05-27 08:34:19.155256 I | mvcc: store.index: compact 56016
2021-05-27 08:34:19.170197 I | mvcc: finished scheduled compaction at 56016 (took 14.37154ms)
2021-05-27 08:39:19.160063 I | mvcc: store.index: compact 57242
2021-05-27 08:39:19.175660 I | mvcc: finished scheduled compaction at 57242 (took 14.989506ms)
2021-05-27 08:44:19.164934 I | mvcc: store.index: compact 58471
2021-05-27 08:44:19.179665 I | mvcc: finished scheduled compaction at 58471 (took 14.08747ms)
2021-05-27 08:49:19.170026 I | mvcc: store.index: compact 59698
2021-05-27 08:49:19.185134 I | mvcc: finished scheduled compaction at 59698 (took 14.606082ms)
2021-05-27 08:54:19.174354 I | mvcc: store.index: compact 60928
2021-05-27 08:54:19.188822 I | mvcc: finished scheduled compaction at 60928 (took 13.922447ms)
2021-05-27 08:59:19.179059 I | mvcc: store.index: compact 62157
2021-05-27 08:59:19.194236 I | mvcc: finished scheduled compaction at 62157 (took 14.668627ms)
2021-05-27 09:04:19.183595 I | mvcc: store.index: compact 63387
2021-05-27 09:04:19.198719 I | mvcc: finished scheduled compaction at 63387 (took 14.614358ms)
2021-05-27 09:06:14.482352 I | etcdserver: start to snapshot (applied: 70007, lastsnap: 60006)
2021-05-27 09:06:14.488123 I | etcdserver: saved snapshot at index 70007
2021-05-27 09:06:14.488881 I | etcdserver: compacted raft log at 65007
2021-05-27 09:06:18.392252 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000004e22.snap successfully
2021-05-27 09:09:19.188118 I | mvcc: store.index: compact 64615
2021-05-27 09:09:19.208291 I | mvcc: finished scheduled compaction at 64615 (took 19.272525ms)
2021-05-27 09:14:19.194270 I | mvcc: store.index: compact 65844
2021-05-27 09:14:19.209491 I | mvcc: finished scheduled compaction at 65844 (took 14.646309ms)
2021-05-27 09:19:19.198962 I | mvcc: store.index: compact 67073
2021-05-27 09:19:19.213996 I | mvcc: finished scheduled compaction at 67073 (took 14.584175ms)
2021-05-27 09:24:19.203712 I | mvcc: store.index: compact 68304
2021-05-27 09:24:19.218525 I | mvcc: finished scheduled compaction at 68304 (took 14.284919ms)
2021-05-27 09:29:19.208813 I | mvcc: store.index: compact 69532
2021-05-27 09:29:19.223618 I | mvcc: finished scheduled compaction at 69532 (took 14.140766ms)
2021-05-27 09:34:19.213964 I | mvcc: store.index: compact 70762
2021-05-27 09:34:19.237712 I | mvcc: finished scheduled compaction at 70762 (took 22.988325ms)
2021-05-27 09:39:19.218671 I | mvcc: store.index: compact 71990
2021-05-27 09:39:19.233643 I | mvcc: finished scheduled compaction at 71990 (took 14.297387ms)
2021-05-27 09:44:04.234699 I | etcdserver: start to snapshot (applied: 80008, lastsnap: 70007)
2021-05-27 09:44:04.239888 I | etcdserver: saved snapshot at index 80008
2021-05-27 09:44:04.240029 I | etcdserver: compacted raft log at 75008
2021-05-27 09:44:18.413034 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000007533.snap successfully
2021-05-27 09:44:19.223503 I | mvcc: store.index: compact 73221
2021-05-27 09:44:19.238594 I | mvcc: finished scheduled compaction at 73221 (took 14.614167ms)
2021-05-27 09:49:19.229548 I | mvcc: store.index: compact 74448
2021-05-27 09:49:19.244884 I | mvcc: finished scheduled compaction at 74448 (took 14.762789ms)
2021-05-27 09:54:19.233727 I | mvcc: store.index: compact 75679
2021-05-27 09:54:19.248190 I | mvcc: finished scheduled compaction at 75679 (took 14.033271ms)
2021-05-27 09:59:19.238076 I | mvcc: store.index: compact 76905
2021-05-27 09:59:19.252743 I | mvcc: finished scheduled compaction at 76905 (took 14.093692ms)
2021-05-27 10:04:19.242665 I | mvcc: store.index: compact 78135
2021-05-27 10:04:19.257843 I | mvcc: finished scheduled compaction at 78135 (took 14.594189ms)
2021-05-27 10:09:19.248603 I | mvcc: store.index: compact 79363
2021-05-27 10:09:19.264113 I | mvcc: finished scheduled compaction at 79363 (took 14.683471ms)
2021-05-27 10:14:19.254726 I | mvcc: store.index: compact 80592
2021-05-27 10:14:19.269288 I | mvcc: finished scheduled compaction at 80592 (took 14.010777ms)
2021-05-27 10:19:19.258793 I | mvcc: store.index: compact 81819
2021-05-27 10:19:19.273527 I | mvcc: finished scheduled compaction at 81819 (took 14.178321ms)
2021-05-27 10:21:52.473056 I | etcdserver: start to snapshot (applied: 90009, lastsnap: 80008)
2021-05-27 10:21:52.478265 I | etcdserver: saved snapshot at index 90009
2021-05-27 10:21:52.478433 I | etcdserver: compacted raft log at 85009
2021-05-27 10:22:18.436710 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000009c44.snap successfully
2021-05-27 10:24:19.262955 I | mvcc: store.index: compact 83050
2021-05-27 10:24:19.277607 I | mvcc: finished scheduled compaction at 83050 (took 14.168391ms)
2021-05-27 10:29:19.268190 I | mvcc: store.index: compact 84278
2021-05-27 10:29:19.283655 I | mvcc: finished scheduled compaction at 84278 (took 14.848231ms)
2021-05-27 10:34:19.273557 I | mvcc: store.index: compact 85507
2021-05-27 10:34:19.288439 I | mvcc: finished scheduled compaction at 85507 (took 14.293114ms)
2021-05-27 10:39:19.285611 I | mvcc: store.index: compact 86736
2021-05-27 10:39:19.308823 I | mvcc: finished scheduled compaction at 86736 (took 19.487749ms)
2021-05-27 10:44:19.295953 I | mvcc: store.index: compact 87966
2021-05-27 10:44:19.310428 I | mvcc: finished scheduled compaction at 87966 (took 13.973996ms)
2021-05-27 10:49:19.301104 I | mvcc: store.index: compact 89192
2021-05-27 10:49:19.322675 I | mvcc: finished scheduled compaction at 89192 (took 20.801809ms)
2021-05-27 10:54:19.309407 I | mvcc: store.index: compact 90422
2021-05-27 10:54:19.324479 I | mvcc: finished scheduled compaction at 90422 (took 14.53397ms)
2021-05-27 10:59:19.314151 I | mvcc: store.index: compact 91650
2021-05-27 10:59:19.329868 I | mvcc: finished scheduled compaction at 91650 (took 15.178887ms)
2021-05-27 10:59:41.825339 I | etcdserver: start to snapshot (applied: 100010, lastsnap: 90009)
2021-05-27 10:59:41.830929 I | etcdserver: saved snapshot at index 100010
2021-05-27 10:59:41.831105 I | etcdserver: compacted raft log at 95010
2021-05-27 10:59:48.462981 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-000000000000c355.snap successfully
2021-05-27 11:04:19.319054 I | mvcc: store.index: compact 92877
2021-05-27 11:04:19.336050 I | mvcc: finished scheduled compaction at 92877 (took 16.385252ms)
2021-05-27 11:07:24.242868 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000001-0000000000018ea2.wal is created
2021-05-27 11:09:19.325403 I | mvcc: store.index: compact 94106
2021-05-27 11:09:19.341285 I | mvcc: finished scheduled compaction at 94106 (took 15.264397ms)
2021-05-27 11:14:19.330330 I | mvcc: store.index: compact 95335
2021-05-27 11:14:19.345694 I | mvcc: finished scheduled compaction at 95335 (took 14.707895ms)
2021-05-27 11:19:19.335714 I | mvcc: store.index: compact 96565
2021-05-27 11:19:19.350291 I | mvcc: finished scheduled compaction at 96565 (took 14.047359ms)
2021-05-27 11:24:19.341726 I | mvcc: store.index: compact 97791
2021-05-27 11:24:19.357411 I | mvcc: finished scheduled compaction at 97791 (took 15.120133ms)
2021-05-27 11:29:19.347470 I | mvcc: store.index: compact 99019
2021-05-27 11:29:19.363900 I | mvcc: finished scheduled compaction at 99019 (took 15.955764ms)
2021-05-27 11:34:19.353311 I | mvcc: store.index: compact 100249
