==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
2021-06-01 17:44:16.346120 I | raft: 7ef515033cdbaf0c became candidate at term 4
2021-06-01 17:44:16.346182 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 4
2021-06-01 17:44:16.346215 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 4
2021-06-01 17:44:17.745087 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:18.045631 I | raft: 7ef515033cdbaf0c is starting a new election at term 4
2021-06-01 17:44:18.045683 I | raft: 7ef515033cdbaf0c became candidate at term 5
2021-06-01 17:44:18.045700 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 5
2021-06-01 17:44:18.045716 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 5
2021-06-01 17:44:19.245507 I | raft: 7ef515033cdbaf0c is starting a new election at term 5
2021-06-01 17:44:19.245555 I | raft: 7ef515033cdbaf0c became candidate at term 6
2021-06-01 17:44:19.245571 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 6
2021-06-01 17:44:19.245585 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 6
2021-06-01 17:44:20.445601 I | raft: 7ef515033cdbaf0c is starting a new election at term 6
2021-06-01 17:44:20.445647 I | raft: 7ef515033cdbaf0c became candidate at term 7
2021-06-01 17:44:20.445661 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 7
2021-06-01 17:44:20.445673 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 7
2021-06-01 17:44:22.345550 I | raft: 7ef515033cdbaf0c is starting a new election at term 7
2021-06-01 17:44:22.345590 I | raft: 7ef515033cdbaf0c became candidate at term 8
2021-06-01 17:44:22.345629 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 8
2021-06-01 17:44:22.345657 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 8
2021-06-01 17:44:22.745328 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:23.945521 I | raft: 7ef515033cdbaf0c is starting a new election at term 8
2021-06-01 17:44:23.945568 I | raft: 7ef515033cdbaf0c became candidate at term 9
2021-06-01 17:44:23.945579 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 9
2021-06-01 17:44:23.945592 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 9
2021-06-01 17:44:25.745488 I | raft: 7ef515033cdbaf0c is starting a new election at term 9
