NAMESPACE            NAME                                           READY   STATUS                  RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-red-d449dc9cc-gqn8k                 0/3     Init:CrashLoopBackOff   5          10m   10.244.0.27   kind-2-control-plane   <none>           <none>
default              member-core-operator-55bdfffc85-7k9l9          1/1     Running                 0          12m   10.244.0.16   kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-d6qt7                       1/1     Running                 0          60m   10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-zrctk                       1/1     Running                 0          60m   10.244.0.3    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-mv842                                  1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-42grk                               1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running                 0          60m   172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-llc8j         1/1     Running                 0          60m   10.244.0.2    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-cltkz                    1/1     Running                 0          12m   10.244.0.15   kind-2-control-plane   <none>           <none>
metallb-system       speaker-p2vp8                                  1/1     Running                 0          12m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-5d88f56767-xzllj      1/1     Running                 2          12m   10.244.0.17   kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-v9bv6                    1/1     Running                 0          12m   10.244.0.18   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-f98zj     1/1     Running                 0          12m   10.244.0.20   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-bw6gf                    1/1     Running                 0          12m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-rxnqm                                3/3     Running                 0          12m   10.244.0.22   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-5796ffd7cc-b64jg               2/2     Running                 0          12m   10.244.0.21   kind-2-control-plane   <none>           <none>
spire                wcm-spire-agent-xwsdg                          1/1     Running                 0          12m   172.17.0.3    kind-2-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running                 0          12m   10.244.0.19   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-red-59ffd88496-5d4jd                   1/1     Running                 0          11m   10.244.0.26   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-red-59ffd88496-gkf2b                   1/1     Running                 0          11m   10.244.0.25   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-5b69d8f7f8-kkmqd             1/1     Running                 0          11m   10.244.0.23   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-845589cf95-xjhbt              1/1     Running                 0          11m   10.244.0.24   kind-2-control-plane   <none>           <none>
