==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
2021-05-12 15:32:41.527596 I | rafthttp: starting peer 75ffafb62b3627f6...
2021-05-12 15:32:41.527693 I | rafthttp: started HTTP pipelining with peer 75ffafb62b3627f6
2021-05-12 15:32:41.528756 I | rafthttp: started streaming with peer 75ffafb62b3627f6 (writer)
2021-05-12 15:32:41.530961 I | rafthttp: started streaming with peer 75ffafb62b3627f6 (writer)
2021-05-12 15:32:41.535025 I | rafthttp: started peer 75ffafb62b3627f6
2021-05-12 15:32:41.535447 I | rafthttp: added peer 75ffafb62b3627f6
2021-05-12 15:32:41.535529 I | rafthttp: started streaming with peer 75ffafb62b3627f6 (stream Message reader)
2021-05-12 15:32:41.535777 I | rafthttp: started streaming with peer 75ffafb62b3627f6 (stream MsgApp v2 reader)
2021-05-12 15:32:42.673688 W | raft: 1afaa34d30c74b14 stepped down to follower since quorum is not active
2021-05-12 15:32:42.673811 I | raft: 1afaa34d30c74b14 became follower at term 2
2021-05-12 15:32:42.673839 I | raft: raft.node: 1afaa34d30c74b14 lost leader 1afaa34d30c74b14 at term 2
2021-05-12 15:32:44.173539 I | raft: 1afaa34d30c74b14 is starting a new election at term 2
2021-05-12 15:32:44.173722 I | raft: 1afaa34d30c74b14 became candidate at term 3
2021-05-12 15:32:44.173737 I | raft: 1afaa34d30c74b14 received MsgVoteResp from 1afaa34d30c74b14 at term 3
2021-05-12 15:32:44.173750 I | raft: 1afaa34d30c74b14 [logterm: 2, index: 5] sent MsgVote request to 75ffafb62b3627f6 at term 3
2021-05-12 15:32:45.173721 I | raft: 1afaa34d30c74b14 is starting a new election at term 3
2021-05-12 15:32:45.173774 I | raft: 1afaa34d30c74b14 became candidate at term 4
2021-05-12 15:32:45.173786 I | raft: 1afaa34d30c74b14 received MsgVoteResp from 1afaa34d30c74b14 at term 4
2021-05-12 15:32:45.173795 I | raft: 1afaa34d30c74b14 [logterm: 2, index: 5] sent MsgVote request to 75ffafb62b3627f6 at term 4
2021-05-12 15:32:46.536395 W | rafthttp: health check for peer 75ffafb62b3627f6 could not connect: dial tcp: lookup wcm-etcd-cluster-6sszbwjwsp.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 15:32:46.574532 I | raft: 1afaa34d30c74b14 is starting a new election at term 4
2021-05-12 15:32:46.575643 I | raft: 1afaa34d30c74b14 became candidate at term 5
2021-05-12 15:32:46.575690 I | raft: 1afaa34d30c74b14 received MsgVoteResp from 1afaa34d30c74b14 at term 5
2021-05-12 15:32:46.575705 I | raft: 1afaa34d30c74b14 [logterm: 2, index: 5] sent MsgVote request to 75ffafb62b3627f6 at term 5
2021-05-12 15:32:47.873635 I | raft: 1afaa34d30c74b14 is starting a new election at term 5
2021-05-12 15:32:47.873685 I | raft: 1afaa34d30c74b14 became candidate at term 6
2021-05-12 15:32:47.873700 I | raft: 1afaa34d30c74b14 received MsgVoteResp from 1afaa34d30c74b14 at term 6
2021-05-12 15:32:47.873736 I | raft: 1afaa34d30c74b14 [logterm: 2, index: 5] sent MsgVote request to 75ffafb62b3627f6 at term 6
2021-05-12 15:32:48.873590 I | raft: 1afaa34d30c74b14 is starting a new election at term 6
2021-05-12 15:32:48.873638 I | raft: 1afaa34d30c74b14 became candidate at term 7
2021-05-12 15:32:48.873651 I | raft: 1afaa34d30c74b14 received MsgVoteResp from 1afaa34d30c74b14 at term 7
2021-05-12 15:32:48.873663 I | raft: 1afaa34d30c74b14 [logterm: 2, index: 5] sent MsgVote request to 75ffafb62b3627f6 at term 7
2021-05-12 15:32:50.673613 I | raft: 1afaa34d30c74b14 is starting a new election at term 7
