==== START logs for container kube-scheduler of pod kube-system/kube-scheduler-kind-2-control-plane ====
I0615 17:04:05.177339       1 serving.go:312] Generated self-signed cert in-memory
E0615 17:04:09.444711       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
E0615 17:04:09.445915       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csinodes" in API group "storage.k8s.io" at the cluster scope
E0615 17:04:09.447053       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
E0615 17:04:09.448116       1 reflector.go:153] k8s.io/apiserver/pkg/server/dynamiccertificates/configmap_cafile_content.go:209: Failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
E0615 17:04:09.449345       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1beta1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User "system:kube-scheduler" cannot list resource "poddisruptionbudgets" in API group "policy" at the cluster scope
E0615 17:04:09.450138       1 reflector.go:153] k8s.io/client-go/informers/factory.go:135: Failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumeclaims" in API group "" at the cluster scope
I0615 17:04:10.531704       1 shared_informer.go:204] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
I0615 17:04:10.532820       1 leaderelection.go:242] attempting to acquire leader lease  kube-system/kube-scheduler...
I0615 17:04:10.540966       1 leaderelection.go:252] successfully acquired lease kube-system/kube-scheduler
E0615 17:04:27.098075       1 factory.go:494] pod is already present in the activeQ
E0615 17:04:27.116248       1 factory.go:494] pod is already present in the activeQ
==== END logs for container kube-scheduler of pod kube-system/kube-scheduler-kind-2-control-plane ====
